,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.012096774193548387,0.12312312312312312,1.0
2,0.016129032258064516,0.23123123123123124,0.99
3,0.024193548387096774,0.3213213213213213,0.98
4,0.036290322580645164,0.39039039039039036,0.97
5,0.04838709677419355,0.4804804804804805,0.96
6,0.056451612903225805,0.5465465465465466,0.95
7,0.06048387096774194,0.5885885885885885,0.94
8,0.06048387096774194,0.6246246246246246,0.93
9,0.06451612903225806,0.6606606606606606,0.92
10,0.07258064516129033,0.6996996996996997,0.91
11,0.07661290322580645,0.7507507507507507,0.9
12,0.08064516129032258,0.7747747747747747,0.89
13,0.08064516129032258,0.7927927927927928,0.88
14,0.0846774193548387,0.8168168168168168,0.87
15,0.0846774193548387,0.8258258258258259,0.86
16,0.08870967741935484,0.8498498498498499,0.85
17,0.08870967741935484,0.8768768768768769,0.84
18,0.08870967741935484,0.8798798798798799,0.83
19,0.0967741935483871,0.8918918918918919,0.82
20,0.10080645161290322,0.9069069069069069,0.81
21,0.10080645161290322,0.9159159159159159,0.8
22,0.10080645161290322,0.9219219219219219,0.79
23,0.10080645161290322,0.924924924924925,0.78
24,0.10080645161290322,0.93993993993994,0.77
25,0.10080645161290322,0.948948948948949,0.76
26,0.10080645161290322,0.963963963963964,0.75
27,0.10080645161290322,0.9669669669669669,0.71
28,0.10483870967741936,0.9669669669669669,0.7
29,0.10483870967741936,0.978978978978979,0.58
30,0.10483870967741936,0.984984984984985,0.56
31,0.10483870967741936,0.990990990990991,0.52
32,0.10887096774193548,0.990990990990991,0.45
33,0.10887096774193548,0.996996996996997,0.41
34,0.11290322580645161,0.996996996996997,0.35
35,0.12903225806451613,0.996996996996997,0.16
36,0.12903225806451613,1.0,0.15
37,0.13709677419354838,1.0,0.1
38,0.14516129032258066,1.0,0.07
39,0.14919354838709678,1.0,0.05
40,0.16129032258064516,1.0,0.03
41,0.1774193548387097,1.0,0.02
42,0.2217741935483871,1.0,0.01
43,1.0,1.0,0.0
