,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.004032258064516129,0.09309309309309309,1.0
2,0.020161290322580645,0.2042042042042042,0.99
3,0.03225806451612903,0.3153153153153153,0.98
4,0.04435483870967742,0.4144144144144144,0.97
5,0.05241935483870968,0.45645645645645644,0.96
6,0.056451612903225805,0.5075075075075075,0.95
7,0.056451612903225805,0.5675675675675675,0.94
8,0.06048387096774194,0.6156156156156156,0.93
9,0.06048387096774194,0.6546546546546547,0.92
10,0.06451612903225806,0.6996996996996997,0.91
11,0.06451612903225806,0.7387387387387387,0.9
12,0.06854838709677419,0.7777777777777778,0.89
13,0.07661290322580645,0.8108108108108109,0.88
14,0.08064516129032258,0.8318318318318318,0.87
15,0.08064516129032258,0.8498498498498499,0.86
16,0.08064516129032258,0.8618618618618619,0.85
17,0.08870967741935484,0.8768768768768769,0.84
18,0.09274193548387097,0.8918918918918919,0.83
19,0.09274193548387097,0.9009009009009009,0.82
20,0.09274193548387097,0.918918918918919,0.81
21,0.0967741935483871,0.9219219219219219,0.8
22,0.0967741935483871,0.924924924924925,0.79
23,0.0967741935483871,0.9369369369369369,0.78
24,0.10080645161290322,0.9429429429429429,0.76
25,0.10080645161290322,0.9519519519519519,0.75
26,0.10080645161290322,0.954954954954955,0.74
27,0.10080645161290322,0.960960960960961,0.72
28,0.10080645161290322,0.963963963963964,0.7
29,0.10080645161290322,0.96996996996997,0.69
30,0.10483870967741936,0.96996996996997,0.68
31,0.10483870967741936,0.978978978978979,0.66
32,0.10483870967741936,0.996996996996997,0.46
33,0.13306451612903225,0.996996996996997,0.19
34,0.13306451612903225,1.0,0.18
35,0.14112903225806453,1.0,0.11
36,0.14919354838709678,1.0,0.04
37,0.16532258064516128,1.0,0.03
38,0.1774193548387097,1.0,0.02
39,0.24193548387096775,1.0,0.01
40,1.0,1.0,0.0
