,mic,chi2,att
0,0.0,7.792244106716432,contract
1,0.009903471023979149,6.575797872340426,justice
2,0.0,6.575797872340426,law
3,0.015102896704032753,5.26063829787234,sue
4,0.0,1.5207280080889785,statutory
5,0.0,1.315159574468085,attorney
6,0.0,1.315159574468085,jury
7,0.0036463437710585467,0.7603640040444892,aforementioned
8,0.0,0.7603640040444892,surety
9,0.004201217469325336,0.7603640040444892,notwithstanding
10,0.19649719560633017,341.87386786760317,stable
11,0.09947134596226537,237.03258029945403,steady
12,0.020098776082181802,107.32209722318169,growth
13,0.21913825146953725,420.44723678873044,stable
14,0.09934117707775258,242.1320420816699,steady
15,0.05574381242213855,172.57816836569697,growth
16,0.01913401567387485,92.29927145678998,increase
17,0.006826445878872489,79.79196519434319,revenue
18,0.0065969323225349985,49.079991759233366,performance
19,0.0,45.35268969878916,dividend
20,0.006903769146478611,38.481534348554376,sales
21,0.026641554035431225,29.966700754314274,net
22,0.0037059647835049336,25.239455714992573,progress
23,0.01782940887496176,24.184961718471303,environment
24,0.024967416098329753,23.77306802128376,solid
25,0.0,17.38611369928665,get
26,0.0023143591166581157,17.367117252543938,gross
27,0.0052329093315823805,15.727122671455259,maintain
28,0.0036171258085240243,15.112804703690951,development
29,0.020296412922208296,13.875489542153712,keep
30,0.011464211736492258,11.140689309730664,sale
31,0.0,9.702478274187282,stabilize
32,0.004538606104999232,8.629297971488409,profit
33,0.0008999368373856509,8.156433624479199,stability
34,0.003922047555474872,7.603640040444893,execution
35,0.006303351628673681,6.082912032355914,recur
36,0.0,5.922530229465609,support
37,0.008136661285833569,5.450810332092735,realize
38,0.0,5.322548028311424,regular
39,0.02378952251308175,5.167051045543528,make
40,0.01626167623173025,4.490464390207172,consolidation
41,0.007271901985519635,4.2697383989845745,pay
42,0.0,4.180642606283094,earn
43,0.0,4.151991640218588,build
44,0.0,3.4414198918601056,sustain
45,0.0033151801293354044,3.041456016177957,affirm
46,0.004177997623995067,2.63031914893617,resort
47,0.0,2.63031914893617,surround
48,0.0,2.337058114918771,gain
49,0.0196206563358019,2.2810920121334677,repeat
50,0.008085895833347179,2.1923934556719655,integration
51,0.0,1.3677228181506689,hold
52,0.0,1.315159574468085,remuneration
53,0.0,1.315159574468085,assert
54,0.0,0.7603640040444892,defend
55,0.02134086908113164,0.6736674339722768,observe
56,0.0,0.6099626284263675,confirm
57,0.012168105471685342,0.5396089027171223,progression
58,0.012842405821050562,0.5396089027171223,wage
59,0.015244228922850933,0.3191766920932689,operation
60,0.0,0.3123808279654021,advance
61,0.0,0.11887186354868078,advancement
62,0.023251901273882547,0.11887186354868078,preserve
63,0.017550760824356804,73.28765408195164,strong
64,0.00949090770662675,25.239455714992573,progress
65,0.030954436016231046,14.250557461867775,benefit
66,0.01547729435127354,8.156433624479199,stability
67,0.0,5.609113204631996,great
68,0.03301374724740458,4.521634174290157,effective
69,0.0,3.9454787234042556,favorite
70,0.0,3.9454787234042556,greatly
71,0.0,2.63031914893617,reward
72,0.0016641022356660429,2.2810920121334677,satisfactory
73,0.016354916526671426,1.7433614469567122,advantage
74,0.0,1.5207280080889785,fantastic
75,0.0,1.5207280080889785,tremendous
76,0.003412253753171779,1.315159574468085,exclusive
77,0.01155738161958575,1.315159574468085,receptive
78,0.010340828492868548,23.260972885389904,decline
79,0.0,21.696818624200148,concern
80,0.0,9.444077757594176,cut
81,0.006879648916052972,7.890957446808511,investigation
82,0.008814296757802653,5.26063829787234,sue
83,0.018563474136122915,3.9454787234042556,damage
84,0.0008063558331372622,2.7605834391067705,warn
85,0.0,2.7605834391067705,hurt
86,0.0016458506620027347,2.63031914893617,fail
87,0.005184911404918502,2.63031914893617,worse
88,0.011521444141175508,2.63031914893617,controversial
89,0.0,2.63031914893617,fraud
90,0.0,2.63031914893617,overturn
91,0.0,2.63031914893617,concede
92,0.00014285341552700004,2.63031914893617,undermine
93,0.0072809652692436,2.63031914893617,disgrace
94,0.007726746111753169,2.63031914893617,terminate
95,0.0,2.63031914893617,expose
96,0.019782461886933778,2.63031914893617,inconvenience
97,0.005068707073760059,2.63031914893617,harm
98,0.01810835482300699,2.43985051370547,challenge
99,0.0,1.989406131647942,question
100,0.0,1.8298878852791027,negative
101,0.0023643432006121845,1.649200043564314,hamper
102,0.0,1.5207280080889785,urgent
103,0.0,1.5207280080889785,adverse
104,0.008883917933781849,1.5207280080889785,breakdown
105,0.007189999050020379,1.5207280080889785,delinquent
106,0.0017198746134465814,1.315159574468085,prevention
107,0.006499148037101499,1.315159574468085,dismissal
108,0.0003237239500559763,1.315159574468085,monopoly
109,0.019783474359934106,1.315159574468085,dissatisfaction
110,0.007762040291626526,1.315159574468085,unapproved
111,0.0,1.315159574468085,wrongly
112,0.010499584680871532,1.315159574468085,convict
113,0.018468731916934322,1.315159574468085,dismiss
114,0.0,1.315159574468085,abusive
115,0.0,1.315159574468085,argument
116,0.0,1.315159574468085,corruption
117,0.0021578604262169065,1.315159574468085,unpaid
118,0.004528527204260557,1.315159574468085,prejudice
119,0.0,1.315159574468085,embarrassment
120,0.0,1.315159574468085,deterrence
121,0.0,1.315159574468085,abuse
122,0.0,1.315159574468085,shutdown
123,0.01756672194870501,1.315159574468085,mislead
124,0.0,1.315159574468085,undisclosed
125,0.02269981092052742,1.0961967278359828,oppose
126,0.0,0.7603640040444892,caution
127,0.0,0.7603640040444892,downwards
128,0.0,0.7603640040444892,disadvantage
129,0.0,0.7603640040444892,renegotiation
130,0.004264074218581548,0.7603640040444892,pose
131,0.0,0.7603640040444892,inconsistent
