,mic,chi2,att
0,0.0,6.575797872340426,law
1,0.02180348460228365,6.575797872340426,justice
2,0.0,0.7603640040444892,notwithstanding
3,0.0,0.7603640040444892,surety
4,0.0,0.7603640040444892,aforementioned
5,0.0,7.792244106716432,contract
6,0.0,,antitrust
7,0.0,1.315159574468085,attorney
8,0.18989317555142615,341.87386786760317,stable
9,0.1380401113522325,237.03258029945403,steady
10,0.05359438746043943,72.78410298182368,revenue
11,0.030703617834287877,43.429143388615785,performance
12,0.02734953507961735,107.32209722318169,growth
13,0.0,21.819979202796336,environment
14,0.002373414326856338,21.80324132837094,dividend
15,0.02665793488719581,14.415144970709063,maintain
16,0.0,3.0716244715810075,consolidation
17,0.009552521869519603,6.082912032355914,recurring
18,0.016795405965261523,24.618068956230292,progress
19,0.003927126101622047,12.599688812457119,sustain
20,0.028302502525137774,31.625889383564235,relatively
21,0.0,23.17272984156552,consistent
22,0.0,6.082912032355914,regular
23,0.012393534101073245,11.890328251726435,predictable
24,0.005421401059765962,8.156433624479199,stability
25,0.0,4.089245199651152,earnings
26,0.014804594931695059,29.996430561742365,solid
27,0.011103986510690778,26.30067752944496,sales
28,0.21503752137359444,420.44723678873044,stable
29,0.11013360570333619,242.1320420816699,steady
30,0.055175095514904404,172.57816836569697,growth
31,0.014546765686884067,79.79196519434319,revenue
32,0.0,11.140689309730664,sale
33,0.011515405509956,13.875489542153712,keep
34,0.03387682523887503,92.29927145678998,increase
35,0.0,0.0006457814070274432,clear
36,0.01315917537824407,0.6099626284263675,confirm
37,0.007285165768249335,0.7603640040444892,defend
38,0.0,5.322548028311424,regular
39,0.006474268118900506,2.63031914893617,surround
40,0.0,29.966700754314274,net
41,0.02911508231779414,5.167051045543528,make
42,0.0,0.5396089027171223,progression
43,0.0,9.702478274187282,stabilize
44,0.018639778535483043,7.603640040444893,execution
45,0.0,8.156433624479199,stability
46,0.0,49.079991759233366,performance
47,0.0,1.3677228181506689,hold
48,0.0,0.3191766920932689,operation
49,0.012731204664802265,5.450810332092735,realize
50,0.005575610941895404,4.151991640218588,build
51,0.0,24.184961718471303,environment
52,0.017997905986128826,45.35268969878916,dividend
53,0.0,17.38611369928665,get
54,0.0,4.180642606283094,earn
55,0.008638596866598958,25.239455714992573,progress
56,0.009146050204136724,17.367117252543938,gross
57,0.0,4.2697383989845745,pay
58,7.55151549507449e-05,1.315159574468085,assert
59,0.0,,garner
60,0.0043422014650029706,23.77306802128376,solid
61,0.008914923867875402,3.041456016177957,affirm
62,0.0,0.11887186354868078,advancement
63,0.0,15.112804703690951,development
64,0.00253341514596217,2.2810920121334677,repeat
65,0.0,8.629297971488409,profit
66,0.010207589587443389,15.727122671455259,maintain
67,0.0,0.5396089027171223,wage
68,0.0,0.03776178925628726,salary
69,0.003481999453501805,0.11887186354868078,suffer
70,0.0010697679729392284,0.11887186354868078,preserve
71,0.0091688225003701,0.6736674339722768,observe
72,0.0013165975110867034,6.082912032355914,recur
73,0.010813157143039875,1.315159574468085,remuneration
74,0.0,2.1923934556719655,integration
75,0.0,5.922530229465609,support
76,0.0,2.63031914893617,resort
77,0.0,0.3123808279654021,advance
78,0.0,3.4414198918601056,sustain
79,0.0072525137993770805,38.481534348554376,sales
80,0.0017368231384455868,2.337058114918771,gain
81,0.007714703052686511,4.490464390207172,consolidation
82,0.0,2.63031914893617,reward
83,0.0045986796081665116,,beneficial
84,0.0008305417602494369,25.239455714992573,progress
85,0.0,0.3566155906460424,successful
86,0.0,3.9454787234042556,favorite
87,0.0,0.03776178925628726,breakthrough
88,0.0014958224404728604,0.7603640040444892,diligent
89,0.0,,diligently
90,0.009384168697572415,5.609113204631996,great
91,0.011906879365623624,1.5207280080889785,tremendous
92,0.0,2.2810920121334677,satisfactory
93,0.0,1.315159574468085,exclusive
94,0.0006188209348512164,1.5207280080889785,fantastic
95,0.011537976524074844,0.11887186354868078,collaboration
96,0.009232567781851886,73.28765408195164,strong
97,0.0,14.250557461867775,benefit
98,0.0,0.11887186354868078,regain
99,0.0,4.521634174290157,effective
100,0.0,0.7603640040444892,achievement
101,0.0,0.03776178925628726,smooth
102,0.018187132445205423,3.9454787234042556,greatly
103,0.0,0.7603640040444892,attain
104,0.0,,charitable
105,0.002783737872068981,1.7433614469567122,advantage
106,0.010184802096526724,8.156433624479199,stability
107,0.03296418190702499,1.0445927033878826,highest
108,0.0,0.7603640040444892,prestige
109,0.0034550377687749823,1.315159574468085,wrongly
110,0.012114343168881936,2.63031914893617,disgrace
111,0.025764825887686582,0.7603640040444892,caution
112,0.001048282798639999,1.315159574468085,unapproved
113,0.006764983142860892,2.63031914893617,expose
114,0.008808427194874735,1.5207280080889785,breakdown
115,0.0009410766508926027,0.03776178925628726,drought
116,0.0,,reject
117,0.015431664938576173,0.7603640040444892,shortage
118,0.0,2.63031914893617,terminate
119,0.0,,contraction
120,0.0,2.7605834391067705,hurt
121,0.0012189618671700764,2.63031914893617,concede
122,0.0,0.6736674339722768,slowdown
123,0.0,1.315159574468085,deterrence
124,0.0,1.315159574468085,prevention
125,0.002008273365794455,0.7603640040444892,renegotiation
126,0.00859973422798066,1.315159574468085,mislead
127,0.0,0.6736674339722768,lack
128,0.0,0.7603640040444892,dampen
129,0.002859160455151999,,cancel
130,0.010412168167893032,5.26063829787234,sue
131,0.0,,downsize
132,0.0,,deplete
133,0.0025232988975578685,1.8298878852791027,negative
134,0.0007046590667088015,0.7603640040444892,pose
135,0.0017970301008676248,0.5396089027171223,downgrade
136,0.0,2.7605834391067705,warn
