,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.0037313432835820895,0.02495201535508637,1.0
2,0.0037313432835820895,0.05566218809980806,0.99
3,0.0037313432835820895,0.09980806142034548,0.98
4,0.0037313432835820895,0.15355086372360843,0.97
5,0.0037313432835820895,0.19193857965451055,0.96
6,0.011194029850746268,0.23416506717850288,0.95
7,0.011194029850746268,0.2648752399232246,0.94
8,0.014925373134328358,0.30710172744721687,0.93
9,0.014925373134328358,0.33013435700575816,0.92
10,0.022388059701492536,0.3474088291746641,0.91
11,0.022388059701492536,0.3838771593090211,0.9
12,0.026119402985074626,0.4107485604606526,0.89
13,0.029850746268656716,0.42610364683301344,0.88
14,0.029850746268656716,0.43953934740882916,0.87
15,0.033582089552238806,0.4510556621880998,0.86
16,0.041044776119402986,0.45873320537428025,0.85
17,0.041044776119402986,0.47024952015355087,0.84
18,0.04477611940298507,0.4817658349328215,0.83
19,0.04477611940298507,0.4952015355086372,0.82
20,0.048507462686567165,0.508637236084453,0.81
21,0.05223880597014925,0.5201535508637236,0.8
22,0.055970149253731345,0.5297504798464492,0.79
23,0.055970149253731345,0.54510556621881,0.78
24,0.06716417910447761,0.5527831094049904,0.77
25,0.06716417910447761,0.5681381957773513,0.76
26,0.07835820895522388,0.5738963531669866,0.75
27,0.08208955223880597,0.5854126679462572,0.74
28,0.08955223880597014,0.5950095969289827,0.73
29,0.09328358208955224,0.6065259117082533,0.72
30,0.1044776119402985,0.6122840690978887,0.71
31,0.10820895522388059,0.6238003838771593,0.7
32,0.12686567164179105,0.6353166986564299,0.69
33,0.13805970149253732,0.6487523992322457,0.68
34,0.15298507462686567,0.6602687140115163,0.67
35,0.16044776119402984,0.6775431861804223,0.66
36,0.1791044776119403,0.6813819577735125,0.65
37,0.19029850746268656,0.6967370441458733,0.64
38,0.208955223880597,0.7063339731285988,0.63
39,0.22388059701492538,0.7293666026871402,0.62
40,0.25,0.744721689059501,0.61
41,0.2537313432835821,0.7581573896353166,0.6
42,0.2574626865671642,0.7735124760076776,0.59
43,0.2798507462686567,0.7850287907869482,0.58
44,0.29850746268656714,0.8061420345489443,0.57
45,0.3246268656716418,0.8138195777351248,0.56
46,0.34701492537313433,0.8234165067178503,0.55
47,0.376865671641791,0.8310940499040307,0.54
48,0.39552238805970147,0.836852207293666,0.53
49,0.417910447761194,0.8483685220729367,0.52
50,0.43283582089552236,0.8598848368522073,0.51
51,0.44402985074626866,0.8771593090211133,0.5
52,0.4664179104477612,0.8848368522072937,0.49
53,0.5,0.8925143953934741,0.48
54,0.5074626865671642,0.8963531669865643,0.47
55,0.5223880597014925,0.9078694817658349,0.46
56,0.5373134328358209,0.9097888675623801,0.45
57,0.5559701492537313,0.9174664107485605,0.44
58,0.5708955223880597,0.9232245681381958,0.43
59,0.585820895522388,0.9309021113243762,0.42
60,0.6007462686567164,0.9309021113243762,0.41
61,0.6268656716417911,0.9366602687140115,0.4
62,0.6604477611940298,0.9404990403071017,0.39
63,0.6716417910447762,0.9404990403071017,0.38
64,0.6902985074626866,0.9404990403071017,0.37
65,0.6977611940298507,0.946257197696737,0.36
66,0.7126865671641791,0.9520153550863724,0.35
67,0.7164179104477612,0.9558541266794626,0.34
68,0.7238805970149254,0.9577735124760077,0.33
69,0.7313432835820896,0.9616122840690979,0.32
70,0.7425373134328358,0.9654510556621881,0.31
71,0.753731343283582,0.9673704414587332,0.3
72,0.7761194029850746,0.9712092130518234,0.29
73,0.7835820895522388,0.9750479846449136,0.28
74,0.7910447761194029,0.9769673704414588,0.27
75,0.8022388059701493,0.980806142034549,0.26
76,0.8134328358208955,0.982725527831094,0.25
77,0.8208955223880597,0.9846449136276392,0.24
78,0.832089552238806,0.9846449136276392,0.23
79,0.8432835820895522,0.9884836852207294,0.22
80,0.8582089552238806,0.9923224568138196,0.21
81,0.8656716417910447,0.9942418426103646,0.2
82,0.8731343283582089,0.9942418426103646,0.19
83,0.8880597014925373,0.9942418426103646,0.18
84,0.8992537313432836,0.9961612284069098,0.17
85,0.9029850746268657,0.9961612284069098,0.15
86,0.9104477611940298,0.9961612284069098,0.14
87,0.914179104477612,0.9961612284069098,0.13
88,0.917910447761194,1.0,0.12
89,0.9291044776119403,1.0,0.11
90,0.9365671641791045,1.0,0.1
91,0.9402985074626866,1.0,0.09
92,0.9701492537313433,1.0,0.04
93,0.9925373134328358,1.0,0.02
94,1.0,1.0,0.0
