,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.004219409282700422,0.04903677758318739,1.0
2,0.012658227848101266,0.12084063047285463,0.99
3,0.012658227848101266,0.12259194395796848,0.985
4,0.029535864978902954,0.22416812609457093,0.98
5,0.05063291139240506,0.30122591943957966,0.97
6,0.05907172995780591,0.38178633975481613,0.96
7,0.0759493670886076,0.4290718038528897,0.95
8,0.0759493670886076,0.4308231173380035,0.945
9,0.08860759493670886,0.4816112084063047,0.94
10,0.0970464135021097,0.5499124343257443,0.93
11,0.0970464135021097,0.5516637478108581,0.9225
12,0.10126582278481013,0.6059544658493871,0.92
13,0.10126582278481013,0.6077057793345009,0.9183333333333334
14,0.11814345991561181,0.658493870402802,0.91
15,0.11814345991561181,0.6952714535901926,0.9
16,0.12236286919831224,0.6952714535901926,0.8975
17,0.12236286919831224,0.7425569176882661,0.89
18,0.12236286919831224,0.7443082311733801,0.8858333333333333
19,0.13924050632911392,0.7758318739054291,0.88
20,0.13924050632911392,0.7793345008756567,0.8740000000000001
21,0.14345991561181434,0.8126094570928196,0.87
22,0.14345991561181434,0.8161120840630472,0.8633333333333333
23,0.14767932489451477,0.8458844133099825,0.86
24,0.1518987341772152,0.8669001751313485,0.85
25,0.16033755274261605,0.8774080560420315,0.84
26,0.16033755274261605,0.882661996497373,0.83
27,0.16455696202531644,0.8879159369527145,0.82
28,0.16877637130801687,0.8984238178633975,0.81
29,0.16877637130801687,0.9089316987740805,0.8
30,0.1729957805907173,0.9159369527145359,0.79
31,0.17721518987341772,0.9211908931698775,0.78
32,0.17721518987341772,0.9229422066549913,0.775
33,0.18143459915611815,0.9281961471103327,0.77
34,0.18565400843881857,0.9299474605954466,0.76
35,0.18565400843881857,0.9334500875656743,0.75
36,0.18565400843881857,0.9387040280210157,0.74
37,0.189873417721519,0.9422066549912435,0.73
38,0.19831223628691982,0.9474605954465849,0.72
39,0.19831223628691982,0.9527145359019265,0.69
40,0.20253164556962025,0.9544658493870403,0.68
41,0.20675105485232068,0.9544658493870403,0.66
42,0.2109704641350211,0.9562171628721541,0.65
43,0.2109704641350211,0.9632224168126094,0.63
44,0.21940928270042195,0.9649737302977233,0.61
45,0.22362869198312235,0.9649737302977233,0.59
46,0.22784810126582278,0.968476357267951,0.58
47,0.22784810126582278,0.9719789842381786,0.57
48,0.22784810126582278,0.9737302977232924,0.56
49,0.22784810126582278,0.9772329246935202,0.55
50,0.23628691983122363,0.9772329246935202,0.52
51,0.23628691983122363,0.9807355516637478,0.5
52,0.24050632911392406,0.9807355516637478,0.49
53,0.24050632911392406,0.9842381786339754,0.48
54,0.24050632911392406,0.9859894921190894,0.46
55,0.24472573839662448,0.9859894921190894,0.45
56,0.24472573839662448,0.9877408056042032,0.43
57,0.25316455696202533,0.9912434325744308,0.37
58,0.26582278481012656,0.9912434325744308,0.33
59,0.27848101265822783,0.9912434325744308,0.3
60,0.27848101265822783,0.9947460595446584,0.28
61,0.28270042194092826,0.9964973730297724,0.27
62,0.2869198312236287,0.9964973730297724,0.25
63,0.3037974683544304,0.9964973730297724,0.23
64,0.31223628691983124,0.9964973730297724,0.22
65,0.31223628691983124,0.9982486865148862,0.21
66,0.31645569620253167,0.9982486865148862,0.2
67,0.32489451476793246,0.9982486865148862,0.19
68,0.3333333333333333,0.9982486865148862,0.16
69,0.3459915611814346,1.0,0.15
70,0.379746835443038,1.0,0.11
71,0.3881856540084388,1.0,0.1
72,0.41350210970464135,1.0,0.09
73,0.42616033755274263,1.0,0.08
74,0.4430379746835443,1.0,0.07
75,0.45569620253164556,1.0,0.06
76,0.4810126582278481,1.0,0.05
77,0.4936708860759494,1.0,0.04
78,0.5443037974683544,1.0,0.03
79,0.6244725738396625,1.0,0.02
80,0.7848101265822784,1.0,0.01
81,0.7890295358649789,1.0,0.0025
82,1.0,1.0,0.0
