,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.003278688524590164,0.011811023622047244,1.0
2,0.003278688524590164,0.01968503937007874,0.99
3,0.003278688524590164,0.031496062992125984,0.98
4,0.003278688524590164,0.051181102362204724,0.97
5,0.003278688524590164,0.09055118110236221,0.96
6,0.009836065573770493,0.11811023622047244,0.95
7,0.013114754098360656,0.16141732283464566,0.94
8,0.013114754098360656,0.17716535433070865,0.93
9,0.01639344262295082,0.20078740157480315,0.92
10,0.01639344262295082,0.2559055118110236,0.9
11,0.01639344262295082,0.2755905511811024,0.89
12,0.01639344262295082,0.2795275590551181,0.88
13,0.019672131147540985,0.3031496062992126,0.87
14,0.019672131147540985,0.3188976377952756,0.86
15,0.022950819672131147,0.32677165354330706,0.85
16,0.029508196721311476,0.3425196850393701,0.84
17,0.029508196721311476,0.35039370078740156,0.83
18,0.03278688524590164,0.36220472440944884,0.82
19,0.03934426229508197,0.3700787401574803,0.81
20,0.04918032786885246,0.38188976377952755,0.8
21,0.06557377049180328,0.3858267716535433,0.79
22,0.07213114754098361,0.40551181102362205,0.78
23,0.07213114754098361,0.421259842519685,0.76
24,0.07213114754098361,0.4251968503937008,0.75
25,0.07868852459016394,0.4330708661417323,0.74
26,0.08852459016393442,0.4409448818897638,0.73
27,0.08852459016393442,0.4448818897637795,0.72
28,0.09508196721311475,0.46062992125984253,0.71
29,0.09508196721311475,0.47244094488188976,0.69
30,0.09836065573770492,0.4881889763779528,0.68
31,0.09836065573770492,0.5039370078740157,0.66
32,0.10491803278688525,0.5118110236220472,0.65
33,0.11475409836065574,0.5196850393700787,0.64
34,0.11475409836065574,0.5236220472440944,0.63
35,0.12131147540983607,0.5354330708661418,0.62
36,0.12131147540983607,0.5393700787401575,0.61
37,0.12786885245901639,0.5511811023622047,0.6
38,0.13114754098360656,0.5590551181102362,0.59
39,0.1377049180327869,0.5708661417322834,0.57
40,0.14754098360655737,0.5866141732283464,0.56
41,0.1540983606557377,0.594488188976378,0.55
42,0.16721311475409836,0.6023622047244095,0.54
43,0.17049180327868851,0.6062992125984252,0.53
44,0.17704918032786884,0.610236220472441,0.52
45,0.18360655737704917,0.6181102362204725,0.51
46,0.18688524590163935,0.6299212598425197,0.5
47,0.19672131147540983,0.6417322834645669,0.49
48,0.2,0.6456692913385826,0.48
49,0.21967213114754097,0.6456692913385826,0.47
50,0.23934426229508196,0.6535433070866141,0.45
51,0.23934426229508196,0.6614173228346457,0.44
52,0.24262295081967214,0.6614173228346457,0.43
53,0.25245901639344265,0.6732283464566929,0.42
54,0.26557377049180325,0.6850393700787402,0.41
55,0.2786885245901639,0.6889763779527559,0.4
56,0.29180327868852457,0.7007874015748031,0.38
57,0.3081967213114754,0.7047244094488189,0.37
58,0.33114754098360655,0.7086614173228346,0.36
59,0.3475409836065574,0.7244094488188977,0.35
60,0.35737704918032787,0.7322834645669292,0.34
61,0.35737704918032787,0.7401574803149606,0.33
62,0.3704918032786885,0.7559055118110236,0.32
63,0.3901639344262295,0.7716535433070866,0.31
64,0.4098360655737705,0.7795275590551181,0.3
65,0.42295081967213116,0.7913385826771654,0.29
66,0.4491803278688525,0.7992125984251969,0.28
67,0.4524590163934426,0.8070866141732284,0.27
68,0.4819672131147541,0.8070866141732284,0.26
69,0.5049180327868853,0.8188976377952756,0.25
70,0.5114754098360655,0.8346456692913385,0.24
71,0.5475409836065573,0.8385826771653543,0.23
72,0.5770491803278689,0.8503937007874016,0.22
73,0.6,0.8582677165354331,0.21
74,0.6131147540983607,0.8700787401574803,0.2
75,0.6229508196721312,0.8858267716535433,0.19
76,0.659016393442623,0.889763779527559,0.18
77,0.6819672131147541,0.9015748031496063,0.17
78,0.7016393442622951,0.9251968503937008,0.16
79,0.7377049180327869,0.9251968503937008,0.15
80,0.760655737704918,0.9448818897637795,0.14
81,0.7868852459016393,0.9448818897637795,0.13
82,0.819672131147541,0.9566929133858267,0.12
83,0.8360655737704918,0.9606299212598425,0.11
84,0.8524590163934426,0.9606299212598425,0.1
85,0.8786885245901639,0.968503937007874,0.09
86,0.898360655737705,0.968503937007874,0.08
87,0.9180327868852459,0.9724409448818898,0.07
88,0.9278688524590164,0.9763779527559056,0.06
89,0.9540983606557377,0.9763779527559056,0.05
90,0.9704918032786886,0.9881889763779528,0.04
91,0.980327868852459,0.9881889763779528,0.03
92,0.9901639344262295,1.0,0.02
93,1.0,1.0,0.01
