,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.012096774193548387,0.0960960960960961,1.0
2,0.036290322580645164,0.26426426426426425,0.99
3,0.056451612903225805,0.4144144144144144,0.98
4,0.06048387096774194,0.5345345345345346,0.97
5,0.06048387096774194,0.6006006006006006,0.96
6,0.06048387096774194,0.7027027027027027,0.95
7,0.08064516129032258,0.7807807807807807,0.94
8,0.08870967741935484,0.8408408408408409,0.93
9,0.0967741935483871,0.8768768768768769,0.92
10,0.0967741935483871,0.9129129129129129,0.91
11,0.10080645161290322,0.93993993993994,0.9
12,0.10080645161290322,0.9459459459459459,0.89
13,0.10483870967741936,0.960960960960961,0.88
14,0.10483870967741936,0.972972972972973,0.87
15,0.10887096774193548,0.972972972972973,0.86
16,0.11290322580645161,0.9819819819819819,0.85
17,0.11693548387096774,0.987987987987988,0.84
18,0.11693548387096774,0.993993993993994,0.83
19,0.11693548387096774,1.0,0.75
20,0.13709677419354838,1.0,0.08
21,0.1532258064516129,1.0,0.07
22,0.16129032258064516,1.0,0.06
23,0.1774193548387097,1.0,0.05
24,0.18951612903225806,1.0,0.04
25,0.2217741935483871,1.0,0.03
26,0.29838709677419356,1.0,0.02
27,0.3951612903225806,1.0,0.01
28,1.0,1.0,0.0
